time,path,H
2024-03-15 03:30:00,/Volumes/Argus/unk/snap/c1/1710473400.c1.snap.jpg,1.1863425
2024-03-15 04:00:00,/Volumes/Argus/unk/snap/c1/1710475200.c1.snap.jpg,0.7664219
2024-03-15 04:30:00,/Volumes/Argus/unk/snap/c1/1710477000.c1.snap.jpg,1.0739636
2024-03-15 16:30:00,/Volumes/Argus/unk/snap/c1/1710520200.c1.snap.jpg,0.68375504
2024-03-15 17:00:00,/Volumes/Argus/unk/snap/c1/1710522000.c1.snap.jpg,0.6502509
2024-03-15 17:30:00,/Volumes/Argus/unk/snap/c1/1710523800.c1.snap.jpg,0.50739986
2024-03-15 18:00:00,/Volumes/Argus/unk/snap/c1/1710525600.c1.snap.jpg,0.5218629
2024-03-15 18:30:00,/Volumes/Argus/unk/snap/c1/1710527400.c1.snap.jpg,0.54444605
2024-03-15 19:00:00,/Volumes/Argus/unk/snap/c1/1710529200.c1.snap.jpg,0.47689903
2024-03-15 19:30:00,/Volumes/Argus/unk/snap/c1/1710531000.c1.snap.jpg,0.5532064
2024-03-15 20:00:00,/Volumes/Argus/unk/snap/c1/1710532800.c1.snap.jpg,0.57452065
2024-03-15 20:30:00,/Volumes/Argus/unk/snap/c1/1710534600.c1.snap.jpg,0.6004244
2024-03-15 21:00:00,/Volumes/Argus/unk/snap/c1/1710536400.c1.snap.jpg,0.5460166
2024-03-15 21:30:00,/Volumes/Argus/unk/snap/c1/1710538200.c1.snap.jpg,0.6103215
2024-03-15 22:00:00,/Volumes/Argus/unk/snap/c1/1710540000.c1.snap.jpg,0.6616804
2024-03-15 22:30:00,/Volumes/Argus/unk/snap/c1/1710541800.c1.snap.jpg,0.7561454
2024-03-15 23:00:00,/Volumes/Argus/unk/snap/c1/1710543600.c1.snap.jpg,0.7187909
2024-03-15 23:30:00,/Volumes/Argus/unk/snap/c1/1710545400.c1.snap.jpg,0.6249571
2024-03-16 00:00:00,/Volumes/Argus/unk/snap/c1/1710547200.c1.snap.jpg,0.6058953
2024-03-16 00:30:00,/Volumes/Argus/unk/snap/c1/1710549000.c1.snap.jpg,0.5746142
2024-03-16 01:00:00,/Volumes/Argus/unk/snap/c1/1710550800.c1.snap.jpg,0.6813464
2024-03-16 01:30:00,/Volumes/Argus/unk/snap/c1/1710552600.c1.snap.jpg,0.6524308
2024-03-16 02:00:00,/Volumes/Argus/unk/snap/c1/1710554400.c1.snap.jpg,0.68818164
2024-03-16 02:30:00,/Volumes/Argus/unk/snap/c1/1710556200.c1.snap.jpg,0.6729978
2024-03-16 03:00:00,/Volumes/Argus/unk/snap/c1/1710558000.c1.snap.jpg,0.6845441
2024-03-16 03:30:00,/Volumes/Argus/unk/snap/c1/1710559800.c1.snap.jpg,0.7961123
2024-03-16 04:00:00,/Volumes/Argus/unk/snap/c1/1710561600.c1.snap.jpg,0.7638263
2024-03-16 04:30:00,/Volumes/Argus/unk/snap/c1/1710563400.c1.snap.jpg,0.62950444
2024-03-16 17:00:00,/Volumes/Argus/unk/snap/c1/1710608400.c1.snap.jpg,0.64422727
2024-03-16 17:30:00,/Volumes/Argus/unk/snap/c1/1710610200.c1.snap.jpg,0.43327522
